name,Ames,BBB,CL,CYP1A2-Inhibitor,CYP1A2-Substrate,CYP2C19-Inhibitor,CYP2C19-Substrate,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,CYP3A4-Inhibitor,CYP3A4-Substrate,Caco-2,F (20%),F (30%),Ghose,H-HT,HIA,LD50 of acute toxicity,Lipinski,LogD7.4,LogP,LogS,Oprea,PPB,Pgp-inhibitor,Pgp-substrate,SkinSen,T1/2,VD,Varma,Veber,druglikeness,hERG
DB13322,0.056,0.9779360075382021,0.5693068562426447,0.013490330731464214,0.278,0.05554951421510083,0.078,0.002001281853663615,0.42428333333333335,0.0262,0.2539,0.0003862711664765248,0.004,-4.357135071928332,0.5734,0.5528000000000001,0.0,0.002,0.5596,886.0850763287589,1.0,-0.557489833333332,-2.447,-0.526431536401335,0.0,17.33918334133333,0.02061389604933064,0.0016520307250949488,0.36360000000000003,1.8729102377685916,-0.5705830491859528,0.8,1.0,0.9999999581741233,0.3922666666666667
DB13345,0.153999996000008,0.034220215816289576,1.366539174531582,0.03371334970341178,0.6075,0.4269978940676627,0.478,0.9568970671307864,0.15447,0.2025666666666667,0.23050619047619048,0.93119214950833,0.932,-5.55452384464739,0.0602,0.1032,0.25,0.328,0.22455333333333333,289.5125436474588,0.75,2.578441555555551,2.235,-3.8527075526100103,0.6666666666666666,85.32582381552382,0.9674594664117314,0.587091102659172,0.1682,2.290189505794896,0.7507751111882158,0.8,1.0,0.5739999953367945,0.716
DB13381,0.4659999976734294,0.8468011358678046,,0.09617796480945229,0.478,0.06915453836607896,0.366,0.0957720573422362,0.4544236147186148,0.25139999999999996,0.2493066666666667,0.027583249840522014,0.376,,0.344,0.4076000000000001,0.75,0.02,0.24228333333333335,,1.0,,-3.681,-2.2563735038236676,0.6666666666666666,,0.15770773271674107,0.033237146658505703,0.54165,,,0.8,1.0,0.743999987107721,0.42043333333333327
DB13444,0.22,0.29388158483705007,0.864843066943513,0.018758738532670363,0.434,0.0014567265305509972,0.262,0.007689380180595938,0.43488923076923075,0.2345533333333333,0.3788371428571429,0.0074250194635141036,0.18,-5.35688753169571,0.6087999999999999,0.4112,0.75,0.912,0.23479999999999998,4267.06207459727,0.75,-0.4805366666666671,1.879,-3.2912730288800014,0.0,32.4169,0.03660575259850162,0.3088108960467557,0.41790166666666667,0.6812994166327858,-1.5121015513020668,0.6,1.0,0.6879999869616443,0.2478
DB13620,0.048,0.1516698157472769,0.9727902479105771,0.004533252271579445,0.1,0.02008476477920371,0.174,0.01605540815812704,0.4442466666666666,0.12053333333333334,0.3135742857142857,0.009770336684311457,0.048,-6.024352790964279,0.31520000000000004,0.25860000000000005,0.5,0.054,0.2717,3248.085875189016,1.0,-0.32496249999999893,-4.828,0.1097903649841005,0.0,18.491085718285714,0.026955141463200678,0.026933438884391776,0.23399999999999999,1.4076248676230012,-0.7388049785637328,0.4,1.0,0.9979999697925421,0.314
DB13707,0.01,0.9525779252901693,0.9138750509396935,0.0017284703597952927,0.142,0.028472227169766304,0.084,0.0022154466264631563,0.40964999999999996,0.0799,0.29181095238095234,0.00026499287853675027,0.008,-5.043343632942764,0.2508,0.4702,0.0,0.008,0.3216,1646.1569451807236,1.0,-0.3476058333333322,-4.792,0.30722239341400015,0.0,32.45977142657143,0.01755909695296544,0.017192800066045715,0.23959999999999998,1.4183675353044511,-0.8735176988056974,0.8,1.0,0.9979999628625051,0.3256666666666666
DB13749,0.048,0.1516698157472769,0.9727902479105771,0.004533252271579445,0.1,0.02008476477920371,0.174,0.01605540815812704,0.4442466666666666,0.12053333333333334,0.3135742857142857,0.009770336684311457,0.048,-6.024352790964279,0.31520000000000004,0.25860000000000005,0.5,0.054,0.2717,3248.085875189016,1.0,-0.32496249999999893,-4.828,0.1097903649841005,0.0,18.491085718285714,0.026955141463200678,0.026933438884391776,0.23399999999999999,1.4076248676230012,-0.7388049785637328,0.4,1.0,0.9979999697925421,0.314
DB13751,0.21799995266692287,0.15819464915729697,0.7944365637425468,0.04447363539328376,0.36,0.0485803729293945,0.362,0.25461499413509536,0.24592142857142857,0.31847000000000003,0.2992533333333333,0.3962972859112892,0.5335,-6.258017426024512,0.2136,0.32720000000000005,0.25,0.072,0.4609866666666667,123.51084402131248,0.25,0.9760129999999997,2.246,-3.7069305424400154,1.0,59.64769997949999,0.655394664940811,0.05068529828529497,0.2776,2.7169943861341674,-0.18877993125332831,0.2,0.5,0.42999999695746793,0.62
DB13853,0.14399999866666754,0.9479429926617352,0.9814946484623057,0.9710822685155025,0.62,0.8720887958138209,0.6776666666666668,0.3811925322049469,0.7354099999999999,0.4512833333333333,0.795425,0.2340990787176545,0.412,-4.350814057065949,0.6601999999999999,0.6596000000000001,1.0,0.304,0.7486,696.8795083820014,1.0,1.6912547857142826,4.215,-4.892224682650675,0.0,75.44623334533333,0.41224424003994076,0.01828115485372118,0.5045200000000001,1.8482448602283004,-0.40982779685949966,0.8,1.0,0.5839999859159251,0.25709999999999994
DB13854,0.016,0.9562641981250093,1.2069837486537442,0.8170534560622367,0.1,0.03811141667574302,0.224,0.09269192622668919,0.97575,0.11926666666666667,0.57437,0.0044149198941991355,0.058,-4.733531025475476,0.45260000000000006,0.3788,0.75,0.096,0.7944666666666668,8256.680984989625,0.75,1.5711178333333273,5.6610000000000005,-4.781232391839988,0.3333333333333333,88.43799760304758,0.3038368017578598,0.06068007951712876,0.6447333333333334,1.7314435719209884,-0.7711939291724772,0.6,0.5,0.8539999847657467,0.5971380952380951
